?,Question Mark
.,Period
/,Stroke
<BT>,B T
359,3 5 9
479,4 7 9
489,4 8 9
559,5 5 9
579,5 7 9
589,5 8 9
599,5 9 9
5NN,5 N N
73,73
88,88
A,A
ABT,About
AGE,Age
AGN,Again
ALL,All
AND,And
ANT,Antenna
<AR>,A R
ARE,Are
AS,As
AT,At
BE,Be
BCNU,Be seeing you
BEEN,Been
BEAM,Beam
BK,Break
BTU,Back to you
BURO,bureau
BUT,But
BY,By
CAN,Can
CFM,Confirm
COLD,Cold
CPI,Copy
CPY,Copy
CQ,C Q
CU,See you
CUL,See you later
CW,C W
DE,From
DIPOLE,Dipole
DID,Did
DO,Do
DONT,Don't
DR,Dear
DX,D X
EFHW,End fed, half-wave
EL,Element
ES,And
FB,Fine business
FER,For
FROM,From
GA,Good afternoon
GB,Goodbye
GD,Good
GE,Good evening
GL,Good luck
GM,Good morning
GN,Good night
GUD,Good
HAD,had
HAS,has
HAVE,Have
HE,He
HV,Have
HI HI,laughing
HIS,His
HOT,Hot
HOUR,Hour
HPE,Hope
HR,Hear
HW,How
HW?,How copy?
IF,If
IN,In
INFO,Information
IS,Is
IT,It
ITS,It's
FT,Feet
K,K
KEY,Key
<KN>,K N
KNOW,Know
LIKE,Like
LONG,Long
LOOP,Loop
MANY,Many
MORE,More
MNI,Many
MY,My
NAME,Name
NO,No
NOT,Not
NR,Number
NW,Now
OCF,Off-center fed dipole
OF,Of
OK,Okay
OM,Old man
ON,On
ONE,One
OP,Operator
OR,Or
OUT,Out
PLS,Please
PSE,Please
PWR,Power
QRL,Busy
QRL?,Are you busy?
QRM,Interference
QRN,Noise
QRO,High power
QRP,Low power
QRQ,High speed
QRS,Slow speed
QRT,Stop sending
QRU,Q R U
QRX,Standby
QRZ,Q R Zed
QRZ?,Who is calling?
QSB,Fading
QSL,Confirm
QSO,Q S O
QSY,Change frequency
QTH,Location
R,Roger
RR,Roger Roger
RIG,Rig
RPRT,Report
RPT,Report
RST,R S T
RX,Receive
SIG,Signal
<SK>,S K
SHE,She
SO,So
SOME,Some
SRI,Sorry
SSB,Single Side Band
SWR,S W R
TEMP,Temperature
TEST,Contest
THAT,That
THE,The
THEM,Them
THERE,There
THIS,This
THEIR,Their
THEY,They
TKS,Thanks
TNX,Thanks
TO,To
TU,Thank you
TX,Transmit
UP,Up
UR,Your
VERT,Vertical
VY,Very
WAS,Was
WATT,Watt
WE,We
WELL,Well
WILL,Will
WERE,Were
WHAT,What
WHEN,When
WIRE,Wire
WITH,With
WUD,Would
WX,Weather
YAGI,Yagi
YL,Young lady
YOU,You
YOUR,Your
XYL,Wife
