but at the end of the day: 11549
keep an eye out for an email: 11450
let us know in the comments below: 8343
may not be in its final form: 8290
it will be interesting to see how: 5221
there is no such thing as a: 4457
the right place at the right time: 4345
the fact of the matter is that: 4000
it should come as no surprise that: 3800
for the second year in a row: 3768
we want to hear what you think: 3603
this is not the first time that: 3333
it was only a matter of time: 3219
nothing could be further from the truth: 3133
take a look at some of the: 3108
the rock and roll hall of fame: 3021
from the point of view of the: 3021
there are a lot of people who: 3013
is a step in the right direction: 2986
who was not involved in the study: 2600
it is important to note that the: 2563
and let us know what you think: 2523
it was the right thing to do: 2446
on the other side of the world: 2422
it would be a good idea to: 2379
to make the world a better place: 2331
the wrong place at the wrong time: 2304
is just the tip of the iceberg: 2207
could not immediately be reached for comment: 2123
for as long as i can remember: 2115
is the latest in a series of: 2108
anyone with information is asked to call: 2083
have a lot of work to do: 2077
in the second half of the season: 1992
the right to keep and bear arms: 1942
what does this have to do with: 1911
in the days leading up to the: 1878
i dont know about you but i: 1854
hours a day seven days a week: 1815
the first of its kind in the: 1786
the good the bad and the ugly: 1786
i think its fair to say that: 1762
its only a matter of time before: 1720
in the early hours of the morning: 1712
who did not want to be named: 1704
between a rock and a hard place: 1685
be taken with a grain of salt: 1675
one of the best players in the: 1658
in the first round of the playoffs: 1655
i think its safe to say that: 1642
according to a person familiar with the: 1620
up in the middle of the night: 1609
these are just a few of the: 1573
as far as the eye can see: 1473
theres going to be a lot of: 1420
this is due to the fact that: 1415
for those of you who dont know: 1412
thank you for taking the time to: 1388
there is no reason to believe that: 1370
want to get a head start on: 1359
the next president of the united states: 1353
it remains to be seen whether the: 1350
still have a long way to go: 1341
for the first time in his career: 1337
there is no doubt in my mind: 1304
according to a new report from the: 1281
put your money where your mouth is: 1279
in his state of the union address: 1276
in the middle of the night and: 1251
i cant tell you how many times: 1241
it has nothing to do with the: 1239
is considered to be one of the: 1226
i think we can all agree that: 1212
the same can not be said for: 1164
let us know your thoughts in the: 1158
is in the eye of the beholder: 1141
to the fullest extent of the law: 1137
what you see is what you get: 1135
the last thing you want to do: 1129
the straw that broke the camels back: 1115
in the first quarter of this year: 1112
will be announced at a later date: 1112
it took me a long time to: 1069
on the other end of the spectrum: 1065
well just have to wait and see: 1061
for the better part of a decade: 1027
to go back to the drawing board: 1001
a picture is worth a thousand words: 992
the same thing over and over again: 974
none of this is to say that: 966
the first thing that comes to mind: 952
help us be the change we wish: 947
it doesnt have to be this way: 938
to get to the bottom of this: 936
this is not to say that the: 934
as far as i can tell the: 928
our thoughts and prayers are with the: 925
what can only be described as a: 918
so you dont have to worry about: 900
as you can see in the video: 897
the public has a right to know: 890
if it aint broke dont fix it: 885
as good a time as any to: 883
for the first time in more than: 874
still has a long way to go: 874
are two sides of the same coin: 872
i find it hard to believe that: 863
