2B EPA [2 B, Eastern Pennsylvania]^
8A WV [8 A, West Virginia]^
2D SFL [2 D, Southern Florida]^
4F CT [4 F, Connecticut]^
2B SCV [2 B, Santa Clara Valley]^
1C STX [1 C, South Texas]^
2B ID [2 B, Idaho]^
14A ONN [14 A, Ontario North]^
2B ONN [2 B, Ontario North]^
9A ME [9 A, Maine]^
1B AR [1 B, Arkansas]^
11F DE [11 F, Delaware]^
9A NM [9 A, New Mexico]^
1B NC [1 B, North Carolina]^
1B EPA [1 B, Eastern Pennsylvania]^
3C WY [3 C, Wyoming]^
2B SNJ [2 B, Southern New Jersey]^
1E VI [1 E, Virgin Islands]^
6F RI [6 F, Rhode Island]^
9A PR [9 A, Puerto Rico]^
3C GA [3 C, Georgia]^
11A ID [11 A, Idaho]^
3A ONN [3 A, Ontario North]^
8F SB [8 F, Santa Barbara]^
1B NT [1 B, Northern Territories]^
6A AL [6 A, Alabama]^
14A MB [14 A, Manitoba]^
2A WV [2 A, West Virginia]^
20A MDC [20 A, Maryland DC]^
9F PAC [9 F, Pacific]^
7A OR [7 A, Oregon]^
1B SDG [1 B, San Diego]^
2A TN [2 A, Tennessee]^
2A MDC [2 A, Maryland DC]^
2D NH [2 D, New Hampshire]^
4A PAC [4 A, Pacific]^
6A MN [6 A, Minnesota]^
4E NFL [4 E, Northern Florida]^
5A EB [5 A, East Bay]^
12A MO [12 A, Missouri]^
3A CO [3 A, Colorado]^
2A WCF [2 A, West Central Florida]^
10A AB [10 A, Alberta]^
4A ND [4 A, North Dakota]^
2B NFL [2 B, Northern Florida]^
9A EWA [9 A, Eastern Washington]^
7F AK [7 F, Alaska]^
3D IA [3 D, Iowa]^
5A ENY [5 A, Eastern New York]^
14A SB [14 A, Santa Barbara]^
1B SV [1 B, Sacramento Valley]^
2B WCF [2 B, West Central Florida]^
3F NC [3 F, North Carolina]^
3D RI [3 D, Rhode Island]^
7E MB [7 E, Manitoba]^
10F SNJ [10 F, Southern New Jersey]^
2B NE [2 B, Nebraska]^
1A NH [1 A, New Hampshire]^
2B ORG [2 B, Orange]^
2B ID [2 B, Idaho]^
2E MAR [2 E, Maritime]^
7A SB [7 A, Santa Barbara]^
2B NC [2 B, North Carolina]^
3A MB [3 A, Manitoba]^
20A WNY [20 A, Western New York]^
4A ID [4 A, Idaho]^
4A TN [4 A, Tennessee]^
3F MDC [3 F, Maryland DC]^
9A NTX [9 A, North Texas]^
8A PR [8 A, Puerto Rico]^
8A NNY [8 A, Northern New York]^
2F EB [2 F, East Bay]^
2C SF [2 C, San Francisco]^
8F SNJ [8 F, Southern New Jersey]^
5F DE [5 F, Delaware]^
7A MDC [7 A, Maryland DC]^
1F UT [1 F, Utah]^
10A NLI [10 A, Long Island]^
1A CT [1 A, Connecticut]^
1C VA [1 C, Virginia]^
2C SCV [2 C, Santa Clara Valley]^
5E TN [5 E, Tennessee]^
