6UST6 [6, U, S, T, 6] ^
45S56 [4, 5, S, 5, 6] ^
WEVBB [W, E, V, B, B] ^
65JDV [6, 5, J, D, V] ^
HWJ65 [H, W, J, 6, 5] ^
5TJ5I [5, T, J, 5, I] ^
EJHTD [E, J, H, T, D] ^
6DVHW [6, D, V, H, W] ^
1UT5W [1, U, T, 5, W] ^
EUIHJ [E, U, I, H, J] ^
1UHUE [1, U, H, U, E] ^
HVJWE [H, V, J, W, E] ^
5IWVI [5, I, W, V, I] ^
TE46B [T, E, 4, 6, B] ^
6SWSI [6, S, W, S, I] ^
HH5BE [H, H, 5, B, E] ^
5VDDE [5, V, D, D, E] ^
IHHHT [I, H, H, H, T] ^
15UEB [1, 5, U, E, B] ^
VSWEE [V, S, W, E, E] ^
5SBDH [5, S, B, D, H] ^
1EDJ6 [1, E, D, J, 6] ^
HDWT4 [H, D, W, T, 4] ^
1SI5U [1, S, I, 5, U] ^
W41JD [W, 4, 1, J, D] ^
66W4U [6, 6, W, 4, U] ^
TUV6W [T, U, V, 6, W] ^
6VE6E [6, V, E, 6, E] ^
USH6B [U, S, H, 6, B] ^
1SV16 [1, S, V, 1, 6] ^
6WUTV [6, W, U, T, V] ^
DSD4J [D, S, D, 4, J] ^
61WI1 [6, 1, W, I, 1] ^
6E5BE [6, E, 5, B, E] ^
H6UI6 [H, 6, U, I, 6] ^
5TDWD [5, T, D, W, D] ^
VI1H4 [V, I, 1, H, 4] ^
5J44B [5, J, 4, 4, B] ^
UEUSH [U, E, U, S, H] ^
661VV [6, 6, 1, V, V] ^
166TJ [1, 6, 6, T, J] ^
SS5EW [S, S, 5, E, W] ^
6W6DD [6, W, 6, D, D] ^
45IVH [4, 5, I, V, H] ^
EW1DI [E, W, 1, D, I] ^
5JVSS [5, J, V, S, S] ^
WH41J [W, H, 4, 1, J] ^
6W6EJ [6, W, 6, E, J] ^
DEUWU [D, E, U, W, U] ^
11SUD [1, 1, S, U, D] ^
USD5W [U, S, D, 5, W] ^
6UIB1 [6, U, I, B, 1] ^
VWU14 [V, W, U, 1, 4] ^
5U6T4 [5, U, 6, T, 4] ^
6S6TE [6, S, 6, T, E] ^
1WH1J [1, W, H, 1, J] ^
6B1TH [6, B, 1, T, H] ^
DJSJE [D, J, S, J, E] ^
54SBJ [5, 4, S, B, J] ^
TJHTW [T, J, H, T, W] ^
1E661 [1, E, 6, 6, 1] ^
6VUE6 [6, V, U, E, 6] ^
651HH [6, 5, 1, H, H] ^
5SVBD [5, S, V, B, D] ^
HWIHT [H, W, I, H, T] ^
6BVJJ [6, B, V, J, J] ^
IITTS [I, I, T, T, S] ^
5W5I6 [5, W, 5, I, 6] ^
IT1S1 [I, T, 1, S, 1] ^
4B5V6 [4, B, 5, V, 6] ^
IJVJV [I, J, V, J, V] ^
1D416 [1, D, 4, 1, 6] ^
JSDU4 [J, S, D, U, 4] ^
4E1B1 [4, E, 1, B, 1] ^
U15BD [U, 1, 5, B, D] ^
5514B [5, 5, 1, 4, B] ^
4DBW6 [4, D, B, W, 6] ^
UU1SS [U, U, 1, S, S] ^
1VV6E [1, V, V, 6, E] ^
JE41U [J, E, 4, 1, U] ^
44IJ1 [4, 4, I, J, 1] ^
1I45W [1, I, 4, 5, W] ^
BJD6S [B, J, D, 6, S] ^
1UIU6 [1, U, I, U, 6] ^
64S44 [6, 4, S, 4, 4] ^
UUVVJ [U, U, V, V, J] ^
1W561 [1, W, 5, 6, 1] ^
JBSDD [J, B, S, D, D] ^
14VUJ [1, 4, V, U, J] ^
46HVE [4, 6, H, V, E] ^
