4T56 [4, T, 5, 6] ^
JDW5 [J, D, W, 5] ^
5JJB [5, J, J, B] ^
UII5 [U, I, I, 5] ^
41T1 [4, 1, T, 1] ^
T1W4 [T, 1, W, 4] ^
5SID [5, S, I, D] ^
UEBJ [U, E, B, J] ^
66DS [6, 6, D, S] ^
DWHE [D, W, H, E] ^
4SDH [4, S, D, H] ^
16HH [1, 6, H, H] ^
6WS5 [6, W, S, 5] ^
UWVV [U, W, V, V] ^
44BU [4, 4, B, U] ^
TT46 [T, T, 4, 6] ^
5VDS [5, V, D, S] ^
I55D [I, 5, 5, D] ^
6TIH [6, T, I, H] ^
IJEW [I, J, E, W] ^
64DU [6, 4, D, U] ^
D1B5 [D, 1, B, 5] ^
61IH [6, 1, I, H] ^
SJ1H [S, J, 1, H] ^
4UU6 [4, U, U, 6] ^
5UHS [5, U, H, S] ^
JUSE [J, U, S, E] ^
5UD6 [5, U, D, 6] ^
STI5 [S, T, I, 5] ^
5JUT [5, J, U, T] ^
DBHH [D, B, H, H] ^
1UIB [1, U, I, B] ^
HDDS [H, D, D, S] ^
5U4S [5, U, 4, S] ^
66BE [6, 6, B, E] ^
V5VT [V, 5, V, T] ^
6JT5 [6, J, T, 5] ^
S6ST [S, 6, S, T] ^
61U1 [6, 1, U, 1] ^
U6TS [U, 6, T, S] ^
5S11 [5, S, 1, 1] ^
VIHT [V, I, H, T] ^
1EW5 [1, E, W, 5] ^
H11I [H, 1, 1, I] ^
6TWT [6, T, W, T] ^
HE54 [H, E, 5, 4] ^
14SJ [1, 4, S, J] ^
V4UV [V, 4, U, V] ^
54JD [5, 4, J, D] ^
4WDE [4, W, D, E] ^
VJSU [V, J, S, U] ^
5DHJ [5, D, H, J] ^
55EB [5, 5, E, B] ^
DVE6 [D, V, E, 6] ^
14SV [1, 4, S, V] ^
U6US [U, 6, U, S] ^
4UBV [4, U, B, V] ^
6U4D [6, U, 4, D] ^
JI16 [J, I, 1, 6] ^
4HET [4, H, E, T] ^
VVTT [V, V, T, T] ^
51DD [5, 1, D, D] ^
DVJH [D, V, J, H] ^
1IDU [1, I, D, U] ^
JVWU [J, V, W, U] ^
64TB [6, 4, T, B] ^
BUUB [B, U, U, B] ^
5EVH [5, E, V, H] ^
D54B [D, 5, 4, B] ^
5TVD [5, T, V, D] ^
WDBB [W, D, B, B] ^
1IE1 [1, I, E, 1] ^
VJHH [V, J, H, H] ^
6ET5 [6, E, T, 5] ^
BDE1 [B, D, E, 1] ^
5D4D [5, D, 4, D] ^
DWUJ [D, W, U, J] ^
5UWT [5, U, W, T] ^
155W [1, 5, 5, W] ^
T1H1 [T, 1, H, 1] ^
4S1I [4, S, 1, I] ^
5DBT [5, D, B, T] ^
USI5 [U, S, I, 5] ^
5JEJ [5, J, E, J] ^
TVEV [T, V, E, V] ^
5VH4 [5, V, H, 4] ^
J1I5 [J, 1, I, 5] ^
5D51 [5, D, 5, 1] ^
DIH1 [D, I, H, 1] ^
1HIT [1, H, I, T] ^
DBBV [D, B, B, V] ^
56WW [5, 6, W, W] ^
BH1W [B, H, 1, W] ^
6BVD [6, B, V, D] ^
TH4H [T, H, 4, H] ^
1H5E [1, H, 5, E] ^
6WU5 [6, W, U, 5] ^
HJJ1 [H, J, J, 1] ^
464T [4, 6, 4, T] ^
BVS4 [B, V, S, 4] ^
6D14 [6, D, 1, 4] ^
D1JU [D, 1, J, U] ^
6WVU [6, W, V, U] ^
5VBB [5, V, B, B] ^
SI45 [S, I, 4, 5] ^
6HEE [6, H, E, E] ^
VBW4 [V, B, W, 4] ^
54WH [5, 4, W, H] ^
6V5J [6, V, 5, J] ^
WSBT [W, S, B, T] ^
1JIW [1, J, I, W] ^
511U [5, 1, 1, U] ^
6JED [6, J, E, D] ^
HBSV [H, B, S, V] ^
5WII [5, W, I, I] ^
4EJJ [4, E, J, J] ^
WVWT [W, V, W, T] ^
16SH [1, 6, S, H] ^
V4DI [V, 4, D, I] ^
6E4J [6, E, 4, J] ^
JW64 [J, W, 6, 4] ^
6UTT [6, U, T, T] ^
5JWH [5, J, W, H] ^
6SHT [6, S, H, T] ^
EWJ4 [E, W, J, 4] ^
4SUS [4, S, U, S] ^
IU4T [I, U, 4, T] ^
6HDU [6, H, D, U] ^
DWIS [D, W, I, S] ^
64VE [6, 4, V, E] ^
1W55 [1, W, 5, 5] ^
TVVS [T, V, V, S] ^
4IVT [4, I, V, T] ^
J4U1 [J, 4, U, 1] ^
6I4W [6, I, 4, W] ^
E6JW [E, 6, J, W] ^
1TWU [1, T, W, U] ^
65SD [6, 5, S, D] ^
W4VE [W, 4, V, E] ^
56I1 [5, 6, I, 1] ^
WJ5V [W, J, 5, V] ^
11J4 [1, 1, J, 4] ^
6BUH [6, B, U, H] ^
DIIT [D, I, I, T] ^
1WI6 [1, W, I, 6] ^
E64W [E, 6, 4, W] ^
5UBB [5, U, B, B] ^
BIJT [B, I, J, T] ^
6UVI [6, U, V, I] ^
