6UI [6, U, I] ^
S16 [S, 1, 6] ^
44S [4, 4, S] ^
61B [6, 1, B] ^
UBS [U, B, S] ^
4BE [4, B, E] ^
B4J [B, 4, J] ^
6E5 [6, E, 5] ^
I6I [I, 6, I] ^
4U4 [4, U, 4] ^
WW5 [W, W, 5] ^
4JV [4, J, V] ^
VWD [V, W, D] ^
64J [6, 4, J] ^
VUD [V, U, D] ^
5VD [5, V, D] ^
4HU [4, H, U] ^
IIE [I, I, E] ^
6TI [6, T, I] ^
WIU [W, I, U] ^
4HH [4, H, H] ^
BEE [B, E, E] ^
5DB [5, D, B] ^
HBH [H, B, H] ^
5D6 [5, D, 6] ^
1WU [1, W, U] ^
U46 [U, 4, 6] ^
4IS [4, I, S] ^
VD4 [V, D, 4] ^
56T [5, 6, T] ^
U15 [U, 1, 5] ^
65U [6, 5, U] ^
S1D [S, 1, D] ^
6BV [6, B, V] ^
WIJ [W, I, J] ^
6W4 [6, W, 4] ^
EIB [E, I, B] ^
6ED [6, E, D] ^
E1E [E, 1, E] ^
5I6 [5, I, 6] ^
TJ4 [T, J, 4] ^
5JE [5, J, E] ^
VJE [V, J, E] ^
4WD [4, W, D] ^
BJ1 [B, J, 1] ^
454 [4, 5, 4] ^
SBV [S, B, V] ^
4JE [4, J, E] ^
5I5 [5, I, 5] ^
6HH [6, H, H] ^
61J [6, 1, J] ^
W54 [W, 5, 4] ^
15H [1, 5, H] ^
TWV [T, W, V] ^
6E6 [6, E, 6] ^
WTD [W, T, D] ^
141 [1, 4, 1] ^
1W5 [1, W, 5] ^
H54 [H, 5, 4] ^
15I [1, 5, I] ^
HVE [H, V, E] ^
6D1 [6, D, 1] ^
IBT [I, B, T] ^
6EJ [6, E, J] ^
5EH [5, E, H] ^
6D6 [6, D, 6] ^
WW1 [W, W, 1] ^
64U [6, 4, U] ^
UST [U, S, T] ^
4ED [4, E, D] ^
BS5 [B, S, 5] ^
55H [5, 5, H] ^
VBB [V, B, B] ^
5JI [5, J, I] ^
WUS [W, U, S] ^
4J4 [4, J, 4] ^
V1I [V, 1, I] ^
4VB [4, V, B] ^
6TS [6, T, S] ^
4JU [4, J, U] ^
S6D [S, 6, D] ^
4EI [4, E, I] ^
JJD [J, J, D] ^
4S5 [4, S, 5] ^
TJD [T, J, D] ^
6DB [6, D, B] ^
J61 [J, 6, 1] ^
5UW [5, U, W] ^
VTH [V, T, H] ^
45T [4, 5, T] ^
SJT [S, J, T] ^
4WW [4, W, W] ^
H5B [H, 5, B] ^
156 [1, 5, 6] ^
H45 [H, 4, 5] ^
1DT [1, D, T] ^
5VU [5, V, U] ^
JVD [J, V, D] ^
51D [5, 1, D] ^
IDJ [I, D, J] ^
6VI [6, V, I] ^
JVU [J, V, U] ^
15D [1, 5, D] ^
VWB [V, W, B] ^
6IT [6, I, T] ^
D6B [D, 6, B] ^
6EB [6, E, B] ^
WSH [W, S, H] ^
1S4 [1, S, 4] ^
6E5 [6, E, 5] ^
TUB [T, U, B] ^
55V [5, 5, V] ^
HSS [H, S, S] ^
1UJ [1, U, J] ^
TSU [T, S, U] ^
5JS [5, J, S] ^
4HB [4, H, B] ^
DBJ [D, B, J] ^
4ED [4, E, D] ^
JBD [J, B, D] ^
61E [6, 1, E] ^
VSV [V, S, V] ^
5DV [5, D, V] ^
ITS [I, T, S] ^
6W5 [6, W, 5] ^
DH5 [D, H, 5] ^
6V4 [6, V, 4] ^
S5T [S, 5, T] ^
1VB [1, V, B] ^
TTH [T, T, H] ^
5S4 [5, S, 4] ^
W4E [W, 4, E] ^
5WU [5, W, U] ^
11T [1, 1, T] ^
SDV [S, D, V] ^
4UJ [4, U, J] ^
VH1 [V, H, 1] ^
6BW [6, B, W] ^
U61 [U, 6, 1] ^
15D [1, 5, D] ^
B5B [B, 5, B] ^
55W [5, 5, W] ^
66D [6, 6, D] ^
4HD [4, H, D] ^
1US [1, U, S] ^
11D [1, 1, D] ^
5TD [5, T, D] ^
VWE [V, W, E] ^
4SB [4, S, B] ^
46S [4, 6, S] ^
BDH [B, D, H] ^
4SU [4, S, U] ^
WD6 [W, D, 6] ^
5VE [5, V, E] ^
SJT [S, J, T] ^
6E6 [6, E, 6] ^
61V [6, 1, V] ^
4JJ [4, J, J] ^
V4T [V, 4, T] ^
4UT [4, U, T] ^
SI6 [S, I, 6] ^
6TD [6, T, D] ^
4JT [4, J, T] ^
T66 [T, 6, 6] ^
41I [4, 1, I] ^
56I [5, 6, I] ^
DBH [D, B, H] ^
5TJ [5, T, J] ^
IUB [I, U, B] ^
6SW [6, S, W] ^
H1V [H, 1, V] ^
5B4 [5, B, 4] ^
1DH [1, D, H] ^
BWS [B, W, S] ^
5UB [5, U, B] ^
HES [H, E, S] ^
41T [4, 1, T] ^
5V6 [5, V, 6] ^
VW6 [V, W, 6] ^
1TB [1, T, B] ^
VVV [V, V, V] ^
4TH [4, T, H] ^
TTS [T, T, S] ^
1V6 [1, V, 6] ^
H1J [H, 1, J] ^
1BV [1, B, V] ^
STJ [S, T, J] ^
1DH [1, D, H] ^
TV1 [T, V, 1] ^
6JJ [6, J, J] ^
EBU [E, B, U] ^
6U1 [6, U, 1] ^
SWI [S, W, I] ^
11U [1, 1, U] ^
HHV [H, H, V] ^
6H1 [6, H, 1] ^
U1D [U, 1, D] ^
6E4 [6, E, 4] ^
S1W [S, 1, W] ^
11I [1, 1, I] ^
T1W [T, 1, W] ^
5UT [5, U, T] ^
S6B [S, 6, B] ^
61U [6, 1, U] ^
TST [T, S, T] ^
4IS [4, I, S] ^
WU4 [W, U, 4] ^
646 [6, 4, 6] ^
514 [5, 1, 4] ^
T1U [T, 1, U] ^
5DE [5, D, E] ^
DHE [D, H, E] ^
6U5 [6, U, 5] ^
W5T [W, 5, T] ^
5BU [5, B, U] ^
U4I [U, 4, I] ^
5VD [5, V, D] ^
HJV [H, J, V] ^
6SB [6, S, B] ^
4UJ [4, U, J] ^
6EB [6, E, B] ^
S1S [S, 1, S] ^
1B5 [1, B, 5] ^
I56 [I, 5, 6] ^
5DE [5, D, E] ^
6SD [6, S, D] ^
J1U [J, 1, U] ^
5S1 [5, S, 1] ^
W4B [W, 4, B] ^
65T [6, 5, T] ^
14B [1, 4, B] ^
UB4 [U, B, 4] ^
1J6 [1, J, 6] ^
T4D [T, 4, D] ^
55D [5, 5, D] ^
J5S [J, 5, S] ^
5SV [5, S, V] ^
UTJ [U, T, J] ^
5IV [5, I, V] ^
DS4 [D, S, 4] ^
61V [6, 1, V] ^
VH4 [V, H, 4] ^
414 [4, 1, 4] ^
WWD [W, W, D] ^
6EB [6, E, B] ^
JUW [J, U, W] ^
4SU [4, S, U] ^
41H [4, 1, H] ^
S46 [S, 4, 6] ^
4B4 [4, B, 4] ^
VHU [V, H, U] ^
14I [1, 4, I] ^
1SI [1, S, I] ^
V6U [V, 6, U] ^
5TT [5, T, T] ^
IIJ [I, I, J] ^
6UE [6, U, E] ^
1U6 [1, U, 6] ^
UHE [U, H, E] ^
66V [6, 6, V] ^
UTV [U, T, V] ^
1EH [1, E, H] ^
HD5 [H, D, 5] ^
445 [4, 4, 5] ^
I5I [I, 5, I] ^
51I [5, 1, I] ^
BJI [B, J, I] ^
5IV [5, I, V] ^
BV5 [B, V, 5] ^
5VW [5, V, W] ^
B6T [B, 6, T] ^
1UT [1, U, T] ^
DTV [D, T, V] ^
5SJ [5, S, J] ^
61T [6, 1, T] ^
J4B [J, 4, B] ^
5IS [5, I, S] ^
EHI [E, H, I] ^
4HI [4, H, I] ^
VJV [V, J, V] ^
6JV [6, J, V] ^
5SH [5, S, H] ^
DBT [D, B, T] ^
566 [5, 6, 6] ^
JW5 [J, W, 5] ^
46I [4, 6, I] ^
64U [6, 4, U] ^
S1B [S, 1, B] ^
4W6 [4, W, 6] ^
WIS [W, I, S] ^
55E [5, 5, E] ^
I4D [I, 4, D] ^
4UV [4, U, V] ^
BU6 [B, U, 6] ^
1UB [1, U, B] ^
B1S [B, 1, S] ^
5VE [5, V, E] ^
4HD [4, H, D] ^
EW1 [E, W, 1] ^
166 [1, 6, 6] ^
WSB [W, S, B] ^
4HE [4, H, E] ^
55I [5, 5, I] ^
BSE [B, S, E] ^
5UE [5, U, E] ^
IHD [I, H, D] ^
4T1 [4, T, 1] ^
W51 [W, 5, 1] ^
4EJ [4, E, J] ^
S4T [S, 4, T] ^
1WV [1, W, V] ^
U66 [U, 6, 6] ^
5UI [5, U, I] ^
E16 [E, 1, 6] ^
6EJ [6, E, J] ^
TWE [T, W, E] ^
4HI [4, H, I] ^
DWE [D, W, E] ^
4WE [4, W, E] ^
1D1 [1, D, 1] ^
HSI [H, S, I] ^
41J [4, 1, J] ^
S6V [S, 6, V] ^
4HV [4, H, V] ^
J61 [J, 6, 1] ^
5JB [5, J, B] ^
WIH [W, I, H] ^
6HJ [6, H, J] ^
I51 [I, 5, 1] ^
5DU [5, D, U] ^
DSJ [D, S, J] ^
5D6 [5, D, 6] ^
JHU [J, H, U] ^
4WT [4, W, T] ^
IVI [I, V, I] ^
451 [4, 5, 1] ^
JSH [J, S, H] ^
65W [6, 5, W] ^
BID [B, I, D] ^
5BS [5, B, S] ^
EBU [E, B, U] ^
15V [1, 5, V] ^
IJU [I, J, U] ^
6JW [6, J, W] ^
UST [U, S, T] ^
1TS [1, T, S] ^
E5D [E, 5, D] ^
6V5 [6, V, 5] ^
I4J [I, 4, J] ^
1J4 [1, J, 4] ^
HE5 [H, E, 5] ^
6SH [6, S, H] ^
T5U [T, 5, U] ^
1IE [1, I, E] ^
JDT [J, D, T] ^
445 [4, 4, 5] ^
TWT [T, W, T] ^
5E1 [5, E, 1] ^
1JS [1, J, S] ^
TD5 [T, D, 5] ^
6ST [6, S, T] ^
411 [4, 1, 1] ^
1ED [1, E, D] ^
15U [1, 5, U] ^
BWI [B, W, I] ^
5TJ [5, T, J] ^
DI5 [D, I, 5] ^
56J [5, 6, J] ^
WDU [W, D, U] ^
4WI [4, W, I] ^
EHU [E, H, U] ^
66W [6, 6, W] ^
VUV [V, U, V] ^
16U [1, 6, U] ^
B4J [B, 4, J] ^
1UW [1, U, W] ^
S6W [S, 6, W] ^
5JI [5, J, I] ^
IHV [I, H, V] ^
65E [6, 5, E] ^
JVH [J, V, H] ^
116 [1, 1, 6] ^
WB1 [W, B, 1] ^
411 [4, 1, 1] ^
JBB [J, B, B] ^
4BW [4, B, W] ^
JVD [J, V, D] ^
4S6 [4, S, 6] ^
I11 [I, 1, 1] ^
6DT [6, D, T] ^
BHE [B, H, E] ^
5U4 [5, U, 4] ^
T6T [T, 6, T] ^
1SS [1, S, S] ^
ID1 [I, D, 1] ^
1VE [1, V, E] ^
51D [5, 1, D] ^
W14 [W, 1, 4] ^
5IH [5, I, H] ^
6T1 [6, T, 1] ^
WB6 [W, B, 6] ^
5BI [5, B, I] ^
JE6 [J, E, 6] ^
11B [1, 1, B] ^
J5J [J, 5, J] ^
1V5 [1, V, 5] ^
EBV [E, B, V] ^
165 [1, 6, 5] ^
56V [5, 6, V] ^
HHB [H, H, B] ^
5UT [5, U, T] ^
6UD [6, U, D] ^
S54 [S, 5, 4] ^
44T [4, 4, T] ^
BED [B, E, D] ^
44T [4, 4, T] ^
JH5 [J, H, 5] ^
54U [5, 4, U] ^
VEH [V, E, H] ^
6T5 [6, T, 5] ^
DJS [D, J, S] ^
5IH [5, I, H] ^
BH6 [B, H, 6] ^
56W [5, 6, W] ^
JUB [J, U, B] ^
1WW [1, W, W] ^
U46 [U, 4, 6] ^
1T6 [1, T, 6] ^
TIV [T, I, V] ^
4JI [4, J, I] ^
UUB [U, U, B] ^
5DU [5, D, U] ^
HD4 [H, D, 4] ^
5EU [5, E, U] ^
1T1 [1, T, 1] ^
4SH [4, S, H] ^
