BTU |S1000 SIG [Back to you, Signal]^
QRN |S1000 BEAM [Noise, Beam]^
SIG |S1000 QRN [Signal, Noise]^
SIG |S1000 FB [Signal, Fine business]^
HW |S1000 DX [How, D X]^
BTU |S1000 CPY [Back to you, Copy]^
HPE |S1000 QRN [Hope, Noise]^
ANT |S1000 QRN [Antenna, Noise]^
QRL |S1000 SIG [Busy, Signal]^
FB |S1000 QRN [Fine business, Noise]^
CPY |S1000 SIG [Copy, Signal]^
QRL |S1000 QRN [Busy, Noise]^
CPI |S1000 QSB [Copy, Fading]^
QRN |S1000 CUL [Noise, See you later]^
CPI |S1000 QRN [Copy, Noise]^
QSB |S1000 CUL [Fading, See you later]^
QRN |S1000 SIG [Noise, Signal]^
BTU |S1000 SRI [Back to you, Sorry]^
QRN |S1000 CUL [Noise, See you later]^
QRN |S1000 CPI [Noise, Copy]^
SRI |S1000 SIG [Sorry, Signal]^
QRN |S1000 ANT [Noise, Antenna]^
QRN |S1000 DX [Noise, D X]^
QRN |S1000 QSB [Noise, Fading]^
DX |S1000 QRN [D X, Noise]^
SIG |S1000 QSB [Signal, Fading]^
QRN |S1000 BTU [Noise, Back to you]^
QRN |S1000 CPI [Noise, Copy]^
HW |S1000 QRN [How, Noise]^
CPY |S1000 QRN [Copy, Noise]^
CPY |S1000 DX [Copy, D X]^
QRN |S1000 ANT [Noise, Antenna]^
BTU |S1000 QRN [Back to you, Noise]^
BEAM |S1000 QRN [Beam, Noise]^
SIG |S1000 QRN [Signal, Noise]^
SIG |S1000 DIPOLE [Signal, Dipole]^
QSB |S1000 QRN [Fading, Noise]^
QRL |S1000 CPY [Busy, Copy]^
QRN |S1000 QRL [Noise, Busy]^
HW |S1000 FB [How, Fine business]^
HW |S1000 QRL [How, Busy]^
QRN |S1000 HPE [Noise, Hope]^
QRN |S1000 QSB [Noise, Fading]^
HW |S1000 CPY [How, Copy]^
HW |S1000 QSB [How, Fading]^
BTU |S1000 TNX [Back to you, Thanks]^
DIPOLE |S1000 QRN [Dipole, Noise]^
HW |S1000 QRN [How, Noise]^
CPY |S1000 DX [Copy, D X]^
QRN |S1000 HPE [Noise, Hope]^
QRN |S1000 TNX [Noise, Thanks]^
QRN |S1000 SIG [Noise, Signal]^
CUL |S1000 QRN [See you later, Noise]^
ANT |S1000 CUL [Antenna, See you later]^
QRN |S1000 SIG [Noise, Signal]^
QRN |S1000 QRL [Noise, Busy]^
BTU |S1000 QRN [Back to you, Noise]^
QRL |S1000 QRN [Busy, Noise]^
DIPOLE |S1000 CPI [Dipole, Copy]^
DIPOLE |S1000 QRN [Dipole, Noise]^
DX |S1000 QRN [D X, Noise]^
ANT |S1000 CPI [Antenna, Copy]^
QRN |S1000 SIG [Noise, Signal]^
TNX |S1000 QRN [Thanks, Noise]^
SRI |S1000 HW [Sorry, How]^
QRN |S1000 BEAM [Noise, Beam]^
CPY |S1000 QRN [Copy, Noise]^
QSB |S1000 CUL [Fading, See you later]^
CPY |S1000 DX [Copy, D X]^
ANT |S1000 SIG [Antenna, Signal]^
QRN |S1000 TNX [Noise, Thanks]^
QRN |S1000 ANT [Noise, Antenna]^
QRN |S1000 SRI [Noise, Sorry]^
QRN |S1000 CUL [Noise, See you later]^
QRN |S1000 HW [Noise, How]^
CPY |S1000 SRI [Copy, Sorry]^
FB |S1000 DIPOLE [Fine business, Dipole]^
QRN |S1000 SIG [Noise, Signal]^
CUL |S1000 SRI [See you later, Sorry]^
QRN |S1000 HW [Noise, How]^
BEAM |S1000 FB [Beam, Fine business]^
TNX |S1000 QRN [Thanks, Noise]^
CPI |S1000 QRN [Copy, Noise]^
BTU |S1000 DIPOLE [Back to you, Dipole]^
BTU |S1000 HW [Back to you, How]^
QRN |S1000 FB [Noise, Fine business]^
SIG |S1000 QRN [Signal, Noise]^
SRI |S1000 QRN [Sorry, Noise]^
QSB |S1000 HPE [Fading, Hope]^
QRN |S1000 DIPOLE [Noise, Dipole]^
QRN |S1000 BEAM [Noise, Beam]^
QSB |S1000 SRI [Fading, Sorry]^
QRL |S1000 TNX [Busy, Thanks]^
HW |S1000 QRN [How, Noise]^
DX |S1000 QRN [D X, Noise]^
BEAM |S1000 QRN [Beam, Noise]^
BTU |S1000 BEAM [Back to you, Beam]^
DIPOLE |S1000 SRI [Dipole, Sorry]^
CPI |S1000 QSB [Copy, Fading]^
QRN |S1000 DIPOLE [Noise, Dipole]^
ANT |S1000 QRN [Antenna, Noise]^
DX |S1000 QRN [D X, Noise]^
DIPOLE |S1000 HPE [Dipole, Hope]^
QRN |S1000 DIPOLE [Noise, Dipole]^
TNX |S1000 QRN [Thanks, Noise]^
FB |S1000 QRN [Fine business, Noise]^
QSB |S1000 SRI [Fading, Sorry]^
BEAM |S1000 QRN [Beam, Noise]^
BTU |S1000 CPY [Back to you, Copy]^
QRN |S1000 CPI [Noise, Copy]^
BEAM |S1000 HW [Beam, How]^
SRI |S1000 QSB [Sorry, Fading]^
CUL |S1000 QRN [See you later, Noise]^
HPE |S1000 QRN [Hope, Noise]^
BEAM |S1000 BTU [Beam, Back to you]^
SRI |S1000 CPY [Sorry, Copy]^
QRN |S1000 CPY [Noise, Copy]^
BTU |S1000 QRN [Back to you, Noise]^
HW |S1000 HPE [How, Hope]^
QRN |S1000 SIG [Noise, Signal]^
QRN |S1000 DIPOLE [Noise, Dipole]^
SIG |S1000 BEAM [Signal, Beam]^
SIG |S1000 QRN [Signal, Noise]^
SIG |S1000 QRN [Signal, Noise]^
SRI |S1000 QRN [Sorry, Noise]^
CUL |S1000 CPI [See you later, Copy]^
QRN |S1000 SIG [Noise, Signal]^
CPI |S1000 QRN [Copy, Noise]^
DX |S1000 QRN [D X, Noise]^
FB |S1000 QRN [Fine business, Noise]^
QRL |S1000 ANT [Busy, Antenna]^
QRN |S1000 FB [Noise, Fine business]^
QRN |S1000 FB [Noise, Fine business]^
QRN |S1000 CPY [Noise, Copy]^
QRN |S1000 SRI [Noise, Sorry]^
QRN |S1000 DX [Noise, D X]^
QRN |S1000 DIPOLE [Noise, Dipole]^
BEAM |S1000 DX [Beam, D X]^
QRN |S1000 FB [Noise, Fine business]^
SIG |S1000 QRN [Signal, Noise]^
SRI |S1000 QRN [Sorry, Noise]^
QRL |S1000 QRN [Busy, Noise]^
SRI |S1000 DX [Sorry, D X]^
BEAM |S1000 ANT [Beam, Antenna]^
BTU |S1000 QRN [Back to you, Noise]^
HW |S1000 QRN [How, Noise]^
DX |S1000 BEAM [D X, Beam]^
QRN |S1000 CPY [Noise, Copy]^
QRN |S1000 SRI [Noise, Sorry]^
CUL |S1000 QSB [See you later, Fading]^
QRN |S1000 FB [Noise, Fine business]^
CUL |S1000 QRL [See you later, Busy]^
CPY |S1000 QRN [Copy, Noise]^
SRI |S1000 QRN [Sorry, Noise]^
ANT |S1000 QSB [Antenna, Fading]^
TNX |S1000 QRN [Thanks, Noise]^
SIG |S1000 CPI [Signal, Copy]^
CUL |S1000 QRN [See you later, Noise]^
DIPOLE |S1000 QRN [Dipole, Noise]^
FB |S1000 ANT [Fine business, Antenna]^
QRN |S1000 DX [Noise, D X]^
BEAM |S1000 QRN [Beam, Noise]^
CPI |S1000 HW [Copy, How]^
QRN |S1000 BTU [Noise, Back to you]^
HPE |S1000 QRL [Hope, Busy]^
QRN |S1000 HPE [Noise, Hope]^
SIG |S1000 QRN [Signal, Noise]^
SIG |S1000 QRN [Signal, Noise]^
HPE |S1000 BTU [Hope, Back to you]^
CPI |S1000 DIPOLE [Copy, Dipole]^
SRI |S1000 HPE [Sorry, Hope]^
TNX |S1000 SRI [Thanks, Sorry]^
QRN |S1000 ANT [Noise, Antenna]^
QRN |S1000 CPI [Noise, Copy]^
BEAM |S1000 QRN [Beam, Noise]^
BTU |S1000 QRN [Back to you, Noise]^
TNX |S1000 QRN [Thanks, Noise]^
CPI |S1000 HPE [Copy, Hope]^
QRN |S1000 CPY [Noise, Copy]^
CPI |S1000 BEAM [Copy, Beam]^
SIG |S1000 DX [Signal, D X]^
TNX |S1000 QRN [Thanks, Noise]^
ANT |S1000 HW [Antenna, How]^
QRN |S1000 CPI [Noise, Copy]^
QRL |S1000 CPI [Busy, Copy]^
QRN |S1000 TNX [Noise, Thanks]^
QRN |S1000 HPE [Noise, Hope]^
QRN |S1000 CPI [Noise, Copy]^
QRN |S1000 ANT [Noise, Antenna]^
FB |S1000 QRN [Fine business, Noise]^
SIG |S1000 FB [Signal, Fine business]^
HPE |S1000 QRN [Hope, Noise]^
DX |S1000 QRN [D X, Noise]^
QSB |S1000 QRN [Fading, Noise]^
BEAM |S1000 DIPOLE [Beam, Dipole]^
QRN |S1000 QRL [Noise, Busy]^
DX |S1000 HW [D X, How]^
QRN |S1000 HPE [Noise, Hope]^
QRN |S1000 DIPOLE [Noise, Dipole]^
QRN |S1000 BEAM [Noise, Beam]^
CPY |S1000 BEAM [Copy, Beam]^
CPI |S1000 QRN [Copy, Noise]^
DIPOLE |S1000 CPI [Dipole, Copy]^
QRN |S1000 CPY [Noise, Copy]^
CPI |S1000 QRN [Copy, Noise]^
HPE |S1000 QRN [Hope, Noise]^
CPI |S1000 CPY [Copy, Copy]^
QRL |S1000 CPY [Busy, Copy]^
CUL |S1000 CPY [See you later, Copy]^
BEAM |S1000 QSB [Beam, Fading]^
SIG |S1000 QRL [Signal, Busy]^
DIPOLE |S1000 QSB [Dipole, Fading]^
SIG |S1000 QRN [Signal, Noise]^
SRI |S1000 CPY [Sorry, Copy]^
DX |S1000 QRN [D X, Noise]^
HPE |S1000 SIG [Hope, Signal]^
QSB |S1000 HPE [Fading, Hope]^
QRN |S1000 CPY [Noise, Copy]^
TNX |S1000 DX [Thanks, D X]^
QRN |S1000 CPY [Noise, Copy]^
QRN |S1000 DIPOLE [Noise, Dipole]^
HW |S1000 QSB [How, Fading]^
BTU |S1000 CUL [Back to you, See you later]^
QRN |S1000 TNX [Noise, Thanks]^
CUL |S1000 HW [See you later, How]^
