DX |S1000 QRN [D X, Noise]^
OM |S1000 BEAM [Old man, Beam]^
SRI |S1000 OM [Sorry, Old man]^
DX |S1000 OM [D X, Old man]^
BTU |S1000 HPE [Back to you, Hope]^
OM |S1000 HPE [Old man, Hope]^
ANT |S1000 OM [Antenna, Old man]^
DX |S1000 HW [D X, How]^
QRN |S1000 FB [Noise, Fine business]^
OM |S1000 BTU [Old man, Back to you]^
HW |S1000 BEAM [How, Beam]^
OM |S1000 CPI [Old man, Copy]^
TNX |S1000 BEAM [Thanks, Beam]^
SRI |S1000 OM [Sorry, Old man]^
SIG |S1000 BEAM [Signal, Beam]^
OM |S1000 FB [Old man, Fine business]^
OM |S1000 QRL [Old man, Q R L]^
OM |S1000 ANT [Old man, Antenna]^
QRL |S1000 BEAM [Q R L, Beam]^
DX |S1000 OM [D X, Old man]^
TNX |S1000 QSB [Thanks, Q S B]^
DIPOLE |S1000 SIG [Dipole, Signal]^
ANT |S1000 OM [Antenna, Old man]^
TNX |S1000 HPE [Thanks, Hope]^
DIPOLE |S1000 QRL [Dipole, Q R L]^
OM |S1000 CUL [Old man, See you later]^
CPI |S1000 OM [Copy, Old man]^
TNX |S1000 SRI [Thanks, Sorry]^
OM |S1000 HPE [Old man, Hope]^
QRL |S1000 OM [Q R L, Old man]^
CPY |S1000 OM [Copy, Old man]^
HPE |S1000 OM [Hope, Old man]^
SRI |S1000 OM [Sorry, Old man]^
HPE |S1000 CUL [Hope, See you later]^
OM |S1000 CUL [Old man, See you later]^
OM |S1000 CPY [Old man, Copy]^
SRI |S1000 QRL [Sorry, Q R L]^
SRI |S1000 QRL [Sorry, Q R L]^
BEAM |S1000 OM [Beam, Old man]^
CUL |S1000 QRL [See you later, Q R L]^
CUL |S1000 ANT [See you later, Antenna]^
OM |S1000 TNX [Old man, Thanks]^
OM |S1000 SIG [Old man, Signal]^
OM |S1000 DX [Old man, D X]^
SRI |S1000 OM [Sorry, Old man]^
ANT |S1000 CUL [Antenna, See you later]^
HW |S1000 OM [How, Old man]^
ANT |S1000 OM [Antenna, Old man]^
BTU |S1000 OM [Back to you, Old man]^
HPE |S1000 SIG [Hope, Signal]^
FB |S1000 OM [Fine business, Old man]^
FB |S1000 OM [Fine business, Old man]^
FB |S1000 OM [Fine business, Old man]^
FB |S1000 CPI [Fine business, Copy]^
OM |S1000 ANT [Old man, Antenna]^
CPY |S1000 OM [Copy, Old man]^
ANT |S1000 OM [Antenna, Old man]^
CUL |S1000 OM [See you later, Old man]^
DX |S1000 OM [D X, Old man]^
CPY |S1000 DIPOLE [Copy, Dipole]^
OM |S1000 SIG [Old man, Signal]^
ANT |S1000 TNX [Antenna, Thanks]^
OM |S1000 HPE [Old man, Hope]^
OM |S1000 CPI [Old man, Copy]^
OM |S1000 BEAM [Old man, Beam]^
DX |S1000 DIPOLE [D X, Dipole]^
OM |S1000 HW [Old man, How]^
OM |S1000 DIPOLE [Old man, Dipole]^
HW |S1000 SRI [How, Sorry]^
TNX |S1000 FB [Thanks, Fine business]^
CPI |S1000 DIPOLE [Copy, Dipole]^
OM |S1000 QRN [Old man, Noise]^
TNX |S1000 QSB [Thanks, Q S B]^
QRL |S1000 HPE [Q R L, Hope]^
SRI |S1000 OM [Sorry, Old man]^
DX |S1000 BEAM [D X, Beam]^
CPY |S1000 BTU [Copy, Back to you]^
HW |S1000 OM [How, Old man]^
DIPOLE |S1000 OM [Dipole, Old man]^
ANT |S1000 CPI [Antenna, Copy]^
DIPOLE |S1000 OM [Dipole, Old man]^
BEAM |S1000 OM [Beam, Old man]^
QRN |S1000 OM [Noise, Old man]^
TNX |S1000 OM [Thanks, Old man]^
CPI |S1000 OM [Copy, Old man]^
QRL |S1000 OM [Q R L, Old man]^
ANT |S1000 OM [Antenna, Old man]^
QRL |S1000 OM [Q R L, Old man]^
DIPOLE |S1000 BEAM [Dipole, Beam]^
OM |S1000 CUL [Old man, See you later]^
QSB |S1000 OM [Q S B, Old man]^
DX |S1000 OM [D X, Old man]^
HW |S1000 OM [How, Old man]^
HW |S1000 OM [How, Old man]^
CPY |S1000 OM [Copy, Old man]^
HPE |S1000 OM [Hope, Old man]^
QRN |S1000 HW [Noise, How]^
FB |S1000 OM [Fine business, Old man]^
CPI |S1000 HW [Copy, How]^
