TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
DX |S1000 DX |S1000 DX [D X | DX]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
OM |S1000 OM |S1000 OM [Old man | OM]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
