BURO |S1000 RX [bureau, Receive]^
MNI |S1000 QRQ [Many, High speed]^
YL |S1000 HW\? [Young lady, How copy\?]^
EFHW |S1000 TX [End fed, half-wave, Transmit]^
RX |S1000 HR [Receive, Hear]^
EL |S1000 TX [Element, Transmit]^
EFHW |S1000 RX [End fed, half-wave, Receive]^
EFHW |S1000 HR [End fed, half-wave, Hear]^
QSY |S1000 EFHW [Change frequency, End fed, half-wave]^
EL |S1000 QRS [Element, Slow speed]^
QRP |S1000 EFHW [Low power, End fed, half-wave]^
MNI |S1000 HR [Many, Hear]^
PSE |S1000 EFHW [Please, End fed, half-wave]^
HW\? |S1000 YL [How copy\?, Young lady]^
EFHW |S1000 PLS [End fed, half-wave, Please]^
EL |S1000 QRS [Element, Slow speed]^
YL |S1000 EFHW [Young lady, End fed, half-wave]^
HW\? |S1000 EFHW [How copy\?, End fed, half-wave]^
QRS |S1000 EFHW [Slow speed, End fed, half-wave]^
YL |S1000 EFHW [Young lady, End fed, half-wave]^
TX |S1000 EFHW [Transmit, End fed, half-wave]^
HR |S1000 TX [Hear, Transmit]^
EFHW |S1000 HR [End fed, half-wave, Hear]^
HW\? |S1000 HR [How copy\?, Hear]^
EFHW |S1000 QSY [End fed, half-wave, Change frequency]^
QRP |S1000 YL [Low power, Young lady]^
EFHW |S1000 EL [End fed, half-wave, Element]^
EFHW |S1000 QRQ [End fed, half-wave, High speed]^
PLS |S1000 EFHW [Please, End fed, half-wave]^
DR |S1000 EFHW [Dear, End fed, half-wave]^
QSY |S1000 DR [Change frequency, Dear]^
HW\? |S1000 DR [How copy\?, Dear]^
EFHW |S1000 QSL [End fed, half-wave, Confirm]^
HR |S1000 EFHW [Hear, End fed, half-wave]^
PLS |S1000 CFM [Please, Confirm]^
PSE |S1000 EFHW [Please, End fed, half-wave]^
OP |S1000 EFHW [Operator, End fed, half-wave]^
HR |S1000 QSY [Hear, Change frequency]^
BURO |S1000 EFHW [bureau, End fed, half-wave]^
PLS |S1000 DR [Please, Dear]^
RX |S1000 EFHW [Receive, End fed, half-wave]^
QRP |S1000 QRQ [Low power, High speed]^
QRP |S1000 QSL [Low power, Confirm]^
HR |S1000 BCNU [Hear, Be seeing you]^
TX |S1000 EFHW [Transmit, End fed, half-wave]^
HW\? |S1000 TX [How copy\?, Transmit]^
EFHW |S1000 HR [End fed, half-wave, Hear]^
EFHW |S1000 EL [End fed, half-wave, Element]^
EFHW |S1000 TX [End fed, half-wave, Transmit]^
QRQ |S1000 QSY [High speed, Change frequency]^
HW\? |S1000 EFHW [How copy\?, End fed, half-wave]^
FT |S1000 QRQ [Feet, High speed]^
MNI |S1000 EFHW [Many, End fed, half-wave]^
QRQ |S1000 EL [High speed, Element]^
EFHW |S1000 HW\? [End fed, half-wave, How copy\?]^
EFHW |S1000 MNI [End fed, half-wave, Many]^
QSL |S1000 EFHW [Confirm, End fed, half-wave]^
CFM |S1000 EFHW [Confirm, End fed, half-wave]^
QSL |S1000 QRQ [Confirm, High speed]^
OP |S1000 EFHW [Operator, End fed, half-wave]^
HW\? |S1000 QSL [How copy\?, Confirm]^
EFHW |S1000 HR [End fed, half-wave, Hear]^
EFHW |S1000 QRP [End fed, half-wave, Low power]^
QSL |S1000 BCNU [Confirm, Be seeing you]^
QRP |S1000 HR [Low power, Hear]^
QSY |S1000 OP [Change frequency, Operator]^
EL |S1000 BURO [Element, bureau]^
QSL |S1000 EFHW [Confirm, End fed, half-wave]^
QSY |S1000 OP [Change frequency, Operator]^
MNI |S1000 QSY [Many, Change frequency]^
EFHW |S1000 RX [End fed, half-wave, Receive]^
EFHW |S1000 TX [End fed, half-wave, Transmit]^
EFHW |S1000 HR [End fed, half-wave, Hear]^
QRS |S1000 CFM [Slow speed, Confirm]^
EFHW |S1000 DR [End fed, half-wave, Dear]^
CFM |S1000 HW\? [Confirm, How copy\?]^
EFHW |S1000 DR [End fed, half-wave, Dear]^
YL |S1000 EFHW [Young lady, End fed, half-wave]^
HW\? |S1000 EFHW [How copy\?, End fed, half-wave]^
HR |S1000 EFHW [Hear, End fed, half-wave]^
YL |S1000 QSL [Young lady, Confirm]^
BCNU |S1000 MNI [Be seeing you, Many]^
EFHW |S1000 QRS [End fed, half-wave, Slow speed]^
YL |S1000 QSY [Young lady, Change frequency]^
QRS |S1000 EFHW [Slow speed, End fed, half-wave]^
OP |S1000 BURO [Operator, bureau]^
TX |S1000 QSL [Transmit, Confirm]^
EFHW |S1000 MNI [End fed, half-wave, Many]^
QRP |S1000 QRS [Low power, Slow speed]^
HW\? |S1000 DR [How copy\?, Dear]^
BURO |S1000 EFHW [bureau, End fed, half-wave]^
PSE |S1000 EFHW [Please, End fed, half-wave]^
EL |S1000 EFHW [Element, End fed, half-wave]^
OP |S1000 TX [Operator, Transmit]^
EFHW |S1000 TX [End fed, half-wave, Transmit]^
QRP |S1000 EFHW [Low power, End fed, half-wave]^
QRP |S1000 EFHW [Low power, End fed, half-wave]^
QRP |S1000 HR [Low power, Hear]^
HW\? |S1000 EFHW [How copy\?, End fed, half-wave]^
QSY |S1000 EFHW [Change frequency, End fed, half-wave]^
BCNU |S1000 OP [Be seeing you, Operator]^
QRS |S1000 EFHW [Slow speed, End fed, half-wave]^
BURO |S1000 QSL [bureau, Confirm]^
EFHW |S1000 EL [End fed, half-wave, Element]^
EFHW |S1000 HR [End fed, half-wave, Hear]^
EFHW |S1000 TX [End fed, half-wave, Transmit]^
MNI |S1000 EFHW [Many, End fed, half-wave]^
EL |S1000 QSY [Element, Change frequency]^
YL |S1000 EFHW [Young lady, End fed, half-wave]^
PSE |S1000 YL [Please, Young lady]^
QRP |S1000 EFHW [Low power, End fed, half-wave]^
TX |S1000 CFM [Transmit, Confirm]^
QRP |S1000 EFHW [Low power, End fed, half-wave]^
HR |S1000 EFHW [Hear, End fed, half-wave]^
QSY |S1000 MNI [Change frequency, Many]^
EFHW |S1000 QRQ [End fed, half-wave, High speed]^
EFHW |S1000 BURO [End fed, half-wave, bureau]^
QRP |S1000 HW\? [Low power, How copy\?]^
QRQ |S1000 EFHW [High speed, End fed, half-wave]^
QRP |S1000 EFHW [Low power, End fed, half-wave]^
