BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
OP |S1000 OP |S1000 OP [Operator | OP]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
WUD |S1000 WUD |S1000 WUD [Would | WUD]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
RX |S1000 RX |S1000 RX [Receive | RX]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
FT |S1000 FT |S1000 FT [Feet | FT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
OP |S1000 OP |S1000 OP [Operator | OP]^
WUD |S1000 WUD |S1000 WUD [Would | WUD]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
DR |S1000 DR |S1000 DR [Dear | DR]^
GUD |S1000 GUD |S1000 GUD [Good | GUD]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
GUD |S1000 GUD |S1000 GUD [Good | GUD]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
RX |S1000 RX |S1000 RX [Receive | RX]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
