WIRE |S1000 WATT [Wire, Watt]^
579 |S1000 WIRE [5 7 9, Wire]^
579 |S1000 359 [5 7 9, 3 5 9]^
SSB |S1000 WATT [Single Side Band, Watt]^
579 |S1000 GB [5 7 9, Goodbye]^
WATT |S1000 579 [Watt, 5 7 9]^
GD |S1000 579 [Good, 5 7 9]^
GN |S1000 579 [Good night, 5 7 9]^
88 |S1000 579 [88, 5 7 9]^
88 |S1000 579 [88, 5 7 9]^
NW |S1000 GB [Now, Goodbye]^
489 |S1000 579 [4 8 9, 5 7 9]^
GD |S1000 579 [Good, 5 7 9]^
GB |S1000 SWR [Goodbye, S W R]^
CW |S1000 579 [C W, 5 7 9]^
WIRE |S1000 NW [Wire, Now]^
579 |S1000 GN [5 7 9, Good night]^
INFO |S1000 CW [Information, C W]^
579 |S1000 479 [5 7 9, 4 7 9]^
LOOP |S1000 579 [Loop, 5 7 9]^
359 |S1000 1TT [3 5 9, 100]^
GD |S1000 359 [Good, 3 5 9]^
489 |S1000 72 [4 8 9, 72]^
SSB |S1000 WATT [Single Side Band, Watt]^
489 |S1000 479 [4 8 9, 4 7 9]^
489 |S1000 359 [4 8 9, 3 5 9]^
489 |S1000 579 [4 8 9, 5 7 9]^
88 |S1000 GB [88, Goodbye]^
SSB |S1000 GN [Single Side Band, Good night]^
LOOP |S1000 INFO [Loop, Information]^
579 |S1000 359 [5 7 9, 3 5 9]^
SSB |S1000 579 [Single Side Band, 5 7 9]^
479 |S1000 72 [4 7 9, 72]^
1TT |S1000 72 [100, 72]^
INFO |S1000 88 [Information, 88]^
579 |S1000 LOOP [5 7 9, Loop]^
489 |S1000 72 [4 8 9, 72]^
579 |S1000 88 [5 7 9, 88]^
1TT |S1000 579 [100, 5 7 9]^
88 |S1000 579 [88, 5 7 9]^
479 |S1000 489 [4 7 9, 4 8 9]^
579 |S1000 LOOP [5 7 9, Loop]^
GN |S1000 579 [Good night, 5 7 9]^
359 |S1000 579 [3 5 9, 5 7 9]^
LOOP |S1000 WATT [Loop, Watt]^
579 |S1000 INFO [5 7 9, Information]^
GN |S1000 579 [Good night, 5 7 9]^
LOOP |S1000 SSB [Loop, Single Side Band]^
579 |S1000 INFO [5 7 9, Information]^
LOOP |S1000 WIRE [Loop, Wire]^
88 |S1000 WIRE [88, Wire]^
SSB |S1000 359 [Single Side Band, 3 5 9]^
CW |S1000 579 [C W, 5 7 9]^
WATT |S1000 72 [Watt, 72]^
GD |S1000 CW [Good, C W]^
LOOP |S1000 579 [Loop, 5 7 9]^
LOOP |S1000 1TT [Loop, 100]^
479 |S1000 579 [4 7 9, 5 7 9]^
489 |S1000 579 [4 8 9, 5 7 9]^
359 |S1000 SSB [3 5 9, Single Side Band]^
CW |S1000 579 [C W, 5 7 9]^
479 |S1000 NW [4 7 9, Now]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
579 |S1000 GD [5 7 9, Good]^
NW |S1000 359 [Now, 3 5 9]^
