359 |S1000 359 |S1000 359 [3 5 9 | 359]^
72 |S1000 72 |S1000 72 [72 | 72]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
CW |S1000 CW |S1000 CW [C W | CW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
CW |S1000 CW |S1000 CW [C W | CW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
88 |S1000 88 |S1000 88 [88 | 88]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
CW |S1000 CW |S1000 CW [C W | CW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
CW |S1000 CW |S1000 CW [C W | CW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
