579 |S1000 CW [5 7 9, C W]^
589 |S1000 88 [5 8 9, 88]^
GN |S1000 589 [Good night, 5 8 9]^
GB |S1000 589 [Goodbye, 5 8 9]^
359 |S1000 SWR [3 5 9, S W R]^
589 |S1000 INFO [5 8 9, Information]^
589 |S1000 SWR [5 8 9, S W R]^
589 |S1000 GN [5 8 9, Good night]^
589 |S1000 WIRE [5 8 9, Wire]^
GD |S1000 GB [Good, Goodbye]^
589 |S1000 SWR [5 8 9, S W R]^
OCF |S1000 589 [Off-center fed dipole, 5 8 9]^
GN |S1000 589 [Good night, 5 8 9]^
GN |S1000 589 [Good night, 5 8 9]^
LOOP |S1000 NW [Loop, Now]^
479 |S1000 579 [4 7 9, 5 7 9]^
589 |S1000 579 [5 8 9, 5 7 9]^
GB |S1000 589 [Goodbye, 5 8 9]^
SWR |S1000 GD [S W R, Good]^
SSB |S1000 WATT [Single Side Band, Watt]^
489 |S1000 589 [4 8 9, 5 8 9]^
WIRE |S1000 359 [Wire, 3 5 9]^
589 |S1000 WIRE [5 8 9, Wire]^
489 |S1000 479 [4 8 9, 4 7 9]^
589 |S1000 WIRE [5 8 9, Wire]^
INFO |S1000 CW [Information, C W]^
INFO |S1000 479 [Information, 4 7 9]^
589 |S1000 1TT [5 8 9, 100]^
589 |S1000 OCF [5 8 9, Off-center fed dipole]^
589 |S1000 489 [5 8 9, 4 8 9]^
GN |S1000 589 [Good night, 5 8 9]^
SWR |S1000 589 [S W R, 5 8 9]^
SSB |S1000 589 [Single Side Band, 5 8 9]^
LOOP |S1000 589 [Loop, 5 8 9]^
479 |S1000 NW [4 7 9, Now]^
CW |S1000 479 [C W, 4 7 9]^
489 |S1000 GD [4 8 9, Good]^
1TT |S1000 WATT [100, Watt]^
589 |S1000 479 [5 8 9, 4 7 9]^
489 |S1000 72 [4 8 9, 72]^
589 |S1000 INFO [5 8 9, Information]^
OCF |S1000 359 [Off-center fed dipole, 3 5 9]^
88 |S1000 WIRE [88, Wire]^
SSB |S1000 CW [Single Side Band, C W]^
72 |S1000 589 [72, 5 8 9]^
GN |S1000 CW [Good night, C W]^
589 |S1000 72 [5 8 9, 72]^
589 |S1000 GB [5 8 9, Goodbye]^
589 |S1000 CW [5 8 9, C W]^
OCF |S1000 359 [Off-center fed dipole, 3 5 9]^
479 |S1000 SWR [4 7 9, S W R]^
589 |S1000 579 [5 8 9, 5 7 9]^
SSB |S1000 INFO [Single Side Band, Information]^
589 |S1000 72 [5 8 9, 72]^
WIRE |S1000 SSB [Wire, Single Side Band]^
WIRE |S1000 589 [Wire, 5 8 9]^
88 |S1000 SSB [88, Single Side Band]^
589 |S1000 GD [5 8 9, Good]^
SWR |S1000 589 [S W R, 5 8 9]^
LOOP |S1000 589 [Loop, 5 8 9]^
OCF |S1000 LOOP [Off-center fed dipole, Loop]^
WATT |S1000 589 [Watt, 5 8 9]^
SSB |S1000 WIRE [Single Side Band, Wire]^
589 |S1000 GB [5 8 9, Goodbye]^
589 |S1000 GD [5 8 9, Good]^
589 |S1000 CW [5 8 9, C W]^
GN |S1000 589 [Good night, 5 8 9]^
489 |S1000 589 [4 8 9, 5 8 9]^
359 |S1000 579 [3 5 9, 5 7 9]^
INFO |S1000 479 [Information, 4 7 9]^
589 |S1000 72 [5 8 9, 72]^
589 |S1000 WIRE [5 8 9, Wire]^
589 |S1000 GN [5 8 9, Good night]^
GD |S1000 GN [Good, Good night]^
589 |S1000 WIRE [5 8 9, Wire]^
