QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
CW |S1000 CW |S1000 CW [C W | CW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRX |S1000 QRX |S1000 QRX [Standby | QRX]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
