HI HI |S1000 HI HI |S1000 HI HI [laughing | HI HI]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
73 |S1000 73 |S1000 73 [73 | 73]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
HV |S1000 HV |S1000 HV [Have | HV]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
ABT |S1000 ABT |S1000 ABT [About | ABT]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
HR |S1000 HR |S1000 HR [Hear | HR]^
NR |S1000 NR |S1000 NR [Number | NR]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
DR |S1000 DR |S1000 DR [Dear | DR]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
HV |S1000 HV |S1000 HV [Have | HV]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
WUD |S1000 WUD |S1000 WUD [Would | WUD]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
RST |S1000 RST |S1000 RST [R S T | RST]^
OP |S1000 OP |S1000 OP [Operator | OP]^
WX |S1000 WX |S1000 WX [Weather | WX]^
DX |S1000 DX |S1000 DX [D X | DX]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
73 |S1000 73 |S1000 73 [73 | 73]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
