73 |S1000 TEST [73, Contest]^
RIG |S1000 599 [Rig, 5 9 9]^
NAME |S1000 ABT [Name, About]^
WX |S1000 QTH [Weather, Q T H]^
TEMP |S1000 CUL [Temperature, See you later]^
359 |S1000 LOOP [3 5 9, Loop]^
OM |S1000 BCNU [Old man, Be seeing you]^
NR |S1000 GE [Number, Good evening]^
WIRE |S1000 CFM [Wire, Confirm]^
HW |S1000 PSE [How, Please]^
ES |S1000 SRI [And, Sorry]^
TU |S1000 UR [Thank you, Your]^
RST |S1000 WIRE [R S T, Wire]^
QRP |S1000 NR [Q R P, Number]^
599 |S1000 GE [5 9 9, Good evening]^
CFM |S1000 QSB [Confirm, Q S B]^
BURO |S1000 QRP [bureau, Q R P]^
599 |S1000 HV [5 9 9, Have]^
VERT |S1000 RIG [Vertical, Rig]^
HV |S1000 WUD [Have, Would]^
DE |S1000 CPI [From, Copy]^
FB |S1000 QRM [Fine business, Interference]^
AGN |S1000 QRL [Again, Q R L]^
TEST |S1000 PWR [Contest, Power]^
ES |S1000 GA [And, Good afternoon]^
QSY |S1000 CPY [Q S Y, Copy]^
5NN |S1000 PWR [5 N N, Power]^
XYL |S1000 559 [Wife, 5 5 9]^
UP |S1000 WIRE [Up, Wire]^
VERT |S1000 YAGI [Vertical, Yagi]^
INFO |S1000 GA [Information, Good afternoon]^
ES |S1000 QSL [And, Q S L]^
CQ |S1000 QRM [C Q, Interference]^
YL |S1000 599 [Young lady, 5 9 9]^
OM |S1000 559 [Old man, 5 5 9]^
QSB |S1000 NAME [Q S B, Name]^
UR |S1000 CW [Your, C W]^
CPI |S1000 73 [Copy, 73]^
EFHW |S1000 PLS [End fed, half-wave, Please]^
GL |S1000 SIG [Good luck, Signal]^
RIG |S1000 73 [Rig, 73]^
GB |S1000 5NN [Goodbye, 5 N N]^
NR |S1000 DX [Number, D X]^
PSE |S1000 599 [Please, 5 9 9]^
TU |S1000 AGN [Thank you, Again]^
FB |S1000 WX [Fine business, Weather]^
AGN |S1000 XYL [Again, Wife]^
GM |S1000 QTH [Good morning, Q T H]^
CPY |S1000 SWR [Copy, S W R]^
QRT |S1000 VY [Q R T, Very]^
OCF |S1000 WX [Off-center fed dipole, Weather]^
GA |S1000 PWR [Good afternoon, Power]^
TNX |S1000 OM [Thanks, Old man]^
GL |S1000 UP [Good luck, Up]^
WIRE |S1000 HPE [Wire, Hope]^
CPI |S1000 BTU [Copy, Back to you]^
TU |S1000 DR [Thank you, Dear]^
QRP |S1000 UP [Q R P, Up]^
GUD |S1000 SRI [Good, Sorry]^
RPRT |S1000 WATT [Report, Watt]^
RST |S1000 QRQ [R S T, Q R Q]^
XYL |S1000 QSY [Wife, Q S Y]^
TU |S1000 SRI [Thank you, Sorry]^
VY |S1000 HI HI [Very, laughing]^
QSB |S1000 DE [Q S B, From]^
RST |S1000 DR [R S T, Dear]^
HW\? |S1000 OP [How copy\?, Operator]^
599 |S1000 BURO [5 9 9, bureau]^
QRS |S1000 UP [Q R S, Up]^
PLS |S1000 XYL [Please, Wife]^
HW\? |S1000 XYL [How copy\?, Wife]^
DIPOLE |S1000 359 [Dipole, 3 5 9]^
589 |S1000 73 [5 8 9, 73]^
DX |S1000 5NN [D X, 5 N N]^
QRL |S1000 5NN [Q R L, 5 N N]^
559 |S1000 BURO [5 5 9, bureau]^
TNX |S1000 RPT [Thanks, Report]^
RST |S1000 RPRT [R S T, Report]^
CQ |S1000 CW [C Q, C W]^
UR |S1000 NR [Your, Number]^
TX |S1000 QSB [Transmit, Q S B]^
NR |S1000 DIPOLE [Number, Dipole]^
QRL |S1000 MNI [Q R L, Many]^
GE |S1000 BEAM [Good evening, Beam]^
5NN |S1000 599 [5 N N, 5 9 9]^
FT |S1000 QTH [Feet, Q T H]^
QRX |S1000 CUL [Q R X, See you later]^
73 |S1000 88 [73, 88]^
CPY |S1000 DR [Copy, Dear]^
TEST |S1000 RX [Contest, Receive]^
