tell |S1000 her [tell, her]^
how |S1000 bad [how, bad]^
do |S1000 can [do, can]^
she |S1000 like [she, like]^
she |S1000 how [she, how]^
her |S1000 tell [her, tell]^
did |S1000 she [did, she]^
not |S1000 she [not, she]^
bad |S1000 like [bad, like]^
more |S1000 she [more, she]^
her |S1000 get [her, get]^
there |S1000 she [there, she]^
like |S1000 get [like, get]^
there |S1000 she [there, she]^
there |S1000 bad [there, bad]^
how |S1000 can [how, can]^
she |S1000 get [she, get]^
she |S1000 like [she, like]^
bad |S1000 do [bad, do]^
what |S1000 she [what, she]^
tell |S1000 get [tell, get]^
what |S1000 tell [what, tell]^
can |S1000 she [can, she]^
did |S1000 there [did, there]^
get |S1000 she [get, she]^
more |S1000 she [more, she]^
what |S1000 get [what, get]^
she |S1000 not [she, not]^
her |S1000 not [her, not]^
did |S1000 get [did, get]^
do |S1000 she [do, she]^
there |S1000 here [there, here]^
did |S1000 she [did, she]^
can |S1000 what [can, what]^
tell |S1000 she [tell, she]^
do |S1000 there [do, there]^
can |S1000 her [can, her]^
do |S1000 not [do, not]^
how |S1000 do [how, do]^
not |S1000 she [not, she]^
here |S1000 she [here, she]^
what |S1000 she [what, she]^
how |S1000 tell [how, tell]^
she |S1000 what [she, what]^
she |S1000 get [she, get]^
not |S1000 her [not, her]^
did |S1000 how [did, how]^
she |S1000 her [she, her]^
she |S1000 bad [she, bad]^
not |S1000 she [not, she]^
there |S1000 she [there, she]^
did |S1000 how [did, how]^
she |S1000 can [she, can]^
here |S1000 tell [here, tell]^
she |S1000 not [she, not]^
she |S1000 do [she, do]^
she |S1000 her [she, her]^
did |S1000 what [did, what]^
she |S1000 not [she, not]^
how |S1000 here [how, here]^
she |S1000 bad [she, bad]^
she |S1000 how [she, how]^
what |S1000 she [what, she]^
bad |S1000 can [bad, can]^
she |S1000 tell [she, tell]^
there |S1000 she [there, she]^
can |S1000 there [can, there]^
she |S1000 there [she, there]^
she |S1000 do [she, do]^
can |S1000 she [can, she]^
how |S1000 like [how, like]^
bad |S1000 there [bad, there]^
she |S1000 her [she, her]^
like |S1000 she [like, she]^
how |S1000 she [how, she]^
did |S1000 she [did, she]^
like |S1000 she [like, she]^
tell |S1000 like [tell, like]^
she |S1000 not [she, not]^
she |S1000 what [she, what]^
not |S1000 she [not, she]^
her |S1000 she [her, she]^
like |S1000 she [like, she]^
her |S1000 she [her, she]^
there |S1000 more [there, more]^
get |S1000 she [get, she]^
how |S1000 more [how, more]^
her |S1000 more [her, more]^
can |S1000 she [can, she]^
not |S1000 she [not, she]^
how |S1000 she [how, she]^
not |S1000 here [not, here]^
she |S1000 did [she, did]^
she |S1000 not [she, not]^
her |S1000 tell [her, tell]^
how |S1000 she [how, she]^
did |S1000 how [did, how]^
like |S1000 she [like, she]^
do |S1000 she [do, she]^
can |S1000 she [can, she]^
can |S1000 how [can, how]^
can |S1000 like [can, like]^
she |S1000 here [she, here]^
like |S1000 do [like, do]^
how |S1000 bad [how, bad]^
tell |S1000 get [tell, get]^
do |S1000 she [do, she]^
not |S1000 bad [not, bad]^
do |S1000 how [do, how]^
here |S1000 bad [here, bad]^
get |S1000 she [get, she]^
did |S1000 here [did, here]^
she |S1000 get [she, get]^
she |S1000 here [she, here]^
she |S1000 like [she, like]^
she |S1000 how [she, how]^
what |S1000 here [what, here]^
there |S1000 she [there, she]^
get |S1000 she [get, she]^
tell |S1000 what [tell, what]^
get |S1000 how [get, how]^
there |S1000 can [there, can]^
like |S1000 there [like, there]^
she |S1000 her [she, her]^
bad |S1000 her [bad, her]^
there |S1000 she [there, she]^
did |S1000 how [did, how]^
she |S1000 do [she, do]^
more |S1000 here [more, here]^
she |S1000 can [she, can]^
she |S1000 her [she, her]^
she |S1000 can [she, can]^
she |S1000 more [she, more]^
she |S1000 did [she, did]^
she |S1000 more [she, more]^
she |S1000 there [she, there]^
do |S1000 tell [do, tell]^
she |S1000 not [she, not]^
did |S1000 get [did, get]^
more |S1000 do [more, do]^
like |S1000 she [like, she]^
how |S1000 she [how, she]^
not |S1000 do [not, do]^
she |S1000 like [she, like]^
she |S1000 how [she, how]^
she |S1000 more [she, more]^
tell |S1000 what [tell, what]^
she |S1000 tell [she, tell]^
did |S1000 there [did, there]^
she |S1000 not [she, not]^
how |S1000 she [how, she]^
can |S1000 like [can, like]^
she |S1000 do [she, do]^
not |S1000 she [not, she]^
bad |S1000 she [bad, she]^
did |S1000 she [did, she]^
tell |S1000 more [tell, more]^
she |S1000 bad [she, bad]^
get |S1000 she [get, she]^
tell |S1000 she [tell, she]^
there |S1000 she [there, she]^
not |S1000 she [not, she]^
not |S1000 she [not, she]^
her |S1000 bad [her, bad]^
her |S1000 she [her, she]^
there |S1000 did [there, did]^
how |S1000 she [how, she]^
like |S1000 she [like, she]^
did |S1000 she [did, she]^
like |S1000 she [like, she]^
do |S1000 she [do, she]^
do |S1000 she [do, she]^
do |S1000 here [do, here]^
she |S1000 can [she, can]^
she |S1000 bad [she, bad]^
get |S1000 her [get, her]^
she |S1000 there [she, there]^
bad |S1000 she [bad, she]^
not |S1000 bad [not, bad]^
here |S1000 tell [here, tell]^
what |S1000 not [what, not]^
she |S1000 her [she, her]^
did |S1000 here [did, here]^
there |S1000 here [there, here]^
do |S1000 she [do, she]^
tell |S1000 what [tell, what]^
there |S1000 get [there, get]^
what |S1000 she [what, she]^
there |S1000 her [there, her]^
did |S1000 her [did, her]^
here |S1000 how [here, how]^
there |S1000 can [there, can]^
she |S1000 what [she, what]^
she |S1000 how [she, how]^
